"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"HENRYS",3.416991,3.328213,3.239637,3.170218,3.116426,3.071994,3.025924,2.969645,2.914686,2.875107,2.855402,2.855775,2.865689,2.864073,2.840024,2.805585,2.79307,2.828276,2.915253,3.028137,3.10434,3.118082,3.095217,3.053433,2.998772,2.942262,2.887922,2.83559,2.784935,2.738497,2.697919,2.664448,2.644411,2.63747,2.64956,2.710572,2.848996,3.062616,12.7424,10.64,NA,0,11.96,12.7424,"WheatUS16","25/07/2016","04:33:50",10000,NA,"GPGGA",183344.54,47.8962706,"N",-110.5501426,"W",44485,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.531621,3.441631,3.35273,3.28327,3.229823,3.185988,3.141629,3.082072,3.027526,2.989022,2.970524,2.972663,2.987542,2.989861,2.966026,2.93282,2.918768,2.954964,3.048842,3.172272,3.257226,3.275564,3.250054,3.203482,3.147208,3.086727,3.029706,2.976371,2.924103,2.874387,2.832778,2.799344,2.776149,2.764948,2.775933,2.836592,2.983542,3.21284,8.9354,10.612,NA,0,7.91,8.9354,"WheatUS16","25/07/2016","03:23:37",10000,NA,"GPGGA",172251.74,47.89624928,"N",-110.5481872,"W",44486,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.632262,3.537897,3.446578,3.375498,3.318305,3.271393,3.227373,3.168056,3.112866,3.074083,3.053933,3.055114,3.068869,3.070626,3.045965,3.011033,2.997563,3.033578,3.13087,3.258871,3.342614,3.35601,3.327631,3.278315,3.21772,3.155692,3.094754,3.039121,2.985578,2.934384,2.890271,2.854687,2.830155,2.817215,2.828552,2.890436,3.037651,3.277442,9.8378,10.42,NA,0,8.87,9.8378,"WheatUS16","25/07/2016","07:10:40",10000,NA,"GPGGA",211029.44,47.89623884,"N",-110.549171,"W",44487,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.572746,3.480322,3.390703,3.321916,3.267734,3.221613,3.177548,3.11918,3.063741,3.0251,3.006916,3.008393,3.022752,3.026186,3.002396,2.969088,2.956841,2.993529,3.088866,3.213041,3.296234,3.312713,3.286511,3.238142,3.178663,3.117627,3.058704,3.003248,2.951041,2.901744,2.858685,2.824598,2.800591,2.789005,2.800837,2.861379,3.007666,3.242011,7.9296,10.853,NA,0,6.84,7.9296,"WheatUS16","25/07/2016","03:59:52",10000,NA,"GPGGA",175845.54,47.89623527,"N",-110.5488995,"W",44488,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.520814,3.428193,3.337924,3.265314,3.209714,3.162756,3.114954,3.055447,2.999819,2.959144,2.940286,2.943968,2.958868,2.963047,2.93939,2.901747,2.885631,2.920935,3.014536,3.140152,3.231651,3.255957,3.235048,3.19186,3.134262,3.071639,3.011602,2.955428,2.899686,2.849583,2.806019,2.769723,2.745316,2.733898,2.744555,2.807257,2.954252,3.19261,9.7626,10.396,NA,0,8.79,9.7626,"WheatUS16","25/07/2016","01:41:41",10000,NA,"GPGGA",154136.94,47.89620478,"N",-110.5477499,"W",44489,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.648564,3.551281,3.45683,3.383189,3.322946,3.273631,3.22386,3.161867,3.104442,3.063782,3.043903,3.048107,3.063643,3.067148,3.041778,3.004857,2.989859,3.029523,3.130332,3.262918,3.356003,3.376434,3.350192,3.301492,3.240963,3.175453,3.114964,3.058228,3.002763,2.950896,2.907191,2.870937,2.845751,2.835617,2.847976,2.915276,3.07242,3.326814,8.4748,10.457,NA,0,7.42,8.4748,"WheatUS16","25/07/2016","02:49:58",10000,NA,"GPGGA",164918.94,47.89619043,"N",-110.5483355,"W",44490,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.616549,3.52123,3.428431,3.355232,3.299969,3.250747,3.2017,3.140851,3.083023,3.041673,3.020487,3.020967,3.031432,3.030982,3.005533,2.96931,2.955558,2.991226,3.082638,3.203332,3.284259,3.298051,3.272392,3.226319,3.167189,3.104728,3.045097,2.988829,2.933746,2.883534,2.840705,2.805691,2.782347,2.771997,2.782279,2.845406,2.992895,3.23092,11.7366,10.694,NA,0,10.89,11.7366,"WheatUS16","25/07/2016","05:40:03",10000,NA,"GPGGA",193946.1,47.89617467,"N",-110.5500003,"W",44491,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.480119,3.388794,3.300826,3.229395,3.173914,3.127406,3.081882,3.022945,2.965748,2.925436,2.90395,2.904189,2.915928,2.915096,2.889865,2.855986,2.843166,2.87963,2.973677,3.094977,3.178285,3.193858,3.168523,3.123394,3.066686,3.00601,2.947899,2.894209,2.842089,2.793362,2.752021,2.719036,2.696315,2.686706,2.699265,2.762243,2.911413,3.139298,11.7742,10.762,NA,0,10.93,11.7742,"WheatUS16","25/07/2016","04:34:44",10000,NA,"GPGGA",183439.94,47.89617328,"N",-110.550306,"W",44492,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.37226,3.290299,3.208385,3.145125,3.097833,3.056498,3.015669,2.962217,2.910075,2.874279,2.857498,2.858032,2.869544,2.8718,2.849032,2.81656,2.804536,2.835362,2.919377,3.030226,3.107226,3.123878,3.103904,3.064164,3.011928,2.956343,2.903927,2.852326,2.803304,2.758192,2.71872,2.686872,2.666319,2.654991,2.665119,2.721205,2.853033,3.054203,12.3006,10.56,NA,0,11.49,12.3006,"WheatUS16","25/07/2016","02:15:46",10000,NA,"GPGGA",161527.14,47.89616854,"N",-110.5480621,"W",44493,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.477731,3.38616,3.297608,3.228,3.173141,3.129084,3.08602,3.027529,2.971852,2.933003,2.914901,2.916883,2.931738,2.935164,2.910521,2.875407,2.862305,2.896955,2.991085,3.116456,3.201566,3.219587,3.196607,3.149447,3.092561,3.032074,2.974139,2.92104,2.869387,2.821125,2.777887,2.743607,2.719397,2.70769,2.719023,2.781063,2.923375,3.152156,7.8544,10.289,NA,0,6.76,7.8544,"WheatUS16","25/07/2016","03:24:47",10000,NA,"GPGGA",172352.74,47.89615065,"N",-110.5486163,"W",44494,"FarmerI_PRO_PRO_2016_henrys.csv"
